"id","name","default_code","categ_id/id","type","tracking","use_expiration_date","uom_id/id","uom_po_id/id","invoice_policy","lst_price","standard_price"
"init.af514d56-b085-5a3d-b873-08afe2fa62b1","CATHETER FOLLEYS' 18FG 30MLS-3WAYS SILICONE COATED","NM02CAT014","init.categ_products_materials_orders","product","lot","True","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","66.00","52.80"
"init.e7c5cdde-3a99-5df3-aecd-84ead1046546","CATHETER FOLLEYS' 20FG 30MLS-3WAYS (SILICONISED)","NM02CAT015","init.categ_products_materials_orders","product","lot","True","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","80.00","64.00"
"init.91acc632-703d-5714-8b2d-b5a53c5011c9","CATHETERS FOLLEY'S 30ML - SIZE - 12 FG 2 WAY(SILICONE COATED)","NM02CAT004","init.categ_products_materials_orders","product","lot","True","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","61.00","48.80"
"init.5950c9bd-e091-5651-82ea-2a4e834d1a57","CATHETERS FOLLEY'S 30ML - SIZE - 14 FG 2- WAY SILICONE COATED","NM02CAT005","init.categ_products_materials_orders","product","lot","True","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","70.00","56.00"
"init.585979ad-8782-5031-9f83-6e633f44075c","CATHETERS FOLLEY'S 30ML - SIZE - 16 FG 2 WAY (SILICONE COATED)","NM02CAT006","init.categ_products_materials_orders","product","lot","True","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","53.00","42.40"
"init.fa297548-2ef5-5679-8f8b-11a91dc86979","CATHETERS FOLLEY'S 30ML - SIZE 18 FG 2 WAY(SILICONE COATED)","NM02CAT007","init.categ_products_materials_orders","product","lot","True","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","53.00","42.40"
"init.929261a3-7795-5fa0-9c1a-31023f26966c","CATHETERS FOLLEY'S 3 - 5ML - SIZE - 8 FG 2- WAY (SILICONE COATED)","NM02CAT002","init.categ_products_materials_orders","product","lot","True","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","75.00","60.00"
"init.0295e900-2fcb-5499-a2ed-a68c3a1949e2","CATHETERS FOLLEY'S 5ML - SIZE - 6 FG 2 WAY (SILICON COATED)","NM02CAT001","init.categ_products_materials_orders","product","lot","True","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","86.00","68.80"
"init.27f08872-f67b-5ed7-9ae6-57d439f297ef","CONDOM CATHETERS/ URIDOMS LARGE","NM02CAT017","init.categ_products_materials_orders","product","lot","True","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","37.00","29.60"
"init.9a9f99ea-7f21-5b23-b799-e78f0c6f74b5","CONDOM CATHETERS/ URIDOMS MEDIUM","NM02CAT018","init.categ_products_materials_orders","product","lot","True","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","37.00","29.60"
"init.bb9cd101-7aa5-5c13-a4e7-af963b95cd65","CORD CLAMP(UMBILICAL)","NM19MAT006","init.categ_products_materials_orders","product","lot","True","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","145.00","116.00"
"init.910e7632-5814-5a28-9b4f-6f6c7fb6e61f","COTTON GAUZE PLAIN L/WVN ABSORB-91CMX91M 1500G BP","NM01GAU002","init.categ_products_materials_orders","product","lot","True","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","1800.00","1440.00"
"init.310ee3ac-2991-536c-97aa-d1db9bcce803","COTTON GAUZE X-RAY DETECTABLE L/WVN ABSORB-36X100 YDS 1500G BP","NM01GAU008","init.categ_products_materials_orders","product","lot","True","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","1650.00","1320.00"
"init.7576ef44-20a9-53a2-8f8f-4d35cd7e2403","COTTON WOOL ABSORB WHITE - 400 GMS BP","NM01CTW001","init.categ_products_materials_orders","product","lot","True","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","330.00","264.00"
"init.3c573c79-56d3-589b-8121-6f4f467c2c4b","COVERALL X-LARGE","NE03GEA121","init.categ_products_materials_orders","product","lot","True","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","1974.00","1579.20"
