"id","name","categ_id/id","type","uom_id/id","uom_po_id/id","invoice_policy","lst_price","standard_price","x_concept_source","x_concept_code","x_drug_strength"
"init.11cb8c54-42b8-520e-b1aa-0eeb9ffbdd08","URINE BAGS GRAD, WITH INLETSOUTLET 2000ML5","init.categ_products_drug_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","31.00","31.00","local","",""
"init.5786f7f8-2b17-538f-8bef-d831c067b1d9","WATER BASED LUBRICANT(STERILE) 42-500M","init.categ_products_drug_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","67.00","67.00","local","",""
"init.f7f9d33a-74ee-5436-99b7-e80cdac95861","GLOVES SURGEON SIZE 7.5 STERILE","init.categ_products_drug_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","1250.00","25.00","local","",""
"init.aeb0f212-6268-5858-9ab0-aa7e645f33ce","COTTON GAUZE PLAIN LAWUN ABSORB-910MX91M 1500G BP","init.categ_products_drug_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","1800.00","1800.00","local","","1500G"
"init.bc3e4b88-4c5b-5a12-86f0-aa7ac2c84931","PARACETAMOL SUSPENSION 120MG/5ML-60ML 60ML BOTTLE","init.categ_products_drug_orders","product","init.08709444-ac83-4af2-a8e5-86d91bb565b3","init.08709444-ac83-4af2-a8e5-86d91bb565b3","Ordered quantities","28.00","28.00","local","","120MG"
"init.9564ed37-bca9-56c2-b504-6b24fe76da1e","METHYLATED SPIRIT/ETHANL DENATURED (ALCOHOL CONTENT 94%-96%)","init.categ_products_drug_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","1000.00","1000.00","local","",""
"init.31e03bda-8740-5733-8365-357c5dce39fb","MALARIA RAPID DIAGNOSTIC TESTS","init.categ_products_drug_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","733.70","29.35","local","",""
"init.f59d0e85-5bdf-5433-8663-f5c1a863e264","ETONOGESTREL IMPLANT 68MG WITH PRELOADED TROCAR","init.categ_products_drug_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","8.50","8.50","local","","68MG"
"init.850c4ca1-9287-5f09-81b1-572feb103d2c","LEVONORGESTREL 75MG IMPLANT WITH DISPOSABLE TROCAR(S YEARS)","init.categ_products_drug_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","1098.00","1098.00","local","","75MG"
"init.e0f4790c-4e66-59b9-98a0-42a65d97bdf7","LEVONORGESTREL IMPLANT - 75MG WITH DISP TROCAR (3 YEARS)","init.categ_products_drug_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","6.70","6.70","local","","75MG"
"init.d9ced7c2-a71f-51fa-bea2-d1f5cfebdb67","CARBETOCIN INJECTION 100 MICROGRAM 5ML (HEAT STABLE)","init.categ_products_drug_orders","product","init.e5e1fa57-2b8b-4aef-9b8c-8378b5382791","init.e5e1fa57-2b8b-4aef-9b8c-8378b5382791","Ordered quantities","96.00","96.00","local","","5ML"
"init.7975d55d-2596-5d49-bda5-b9edb073f317","CEFIXIME TABLET 400 MG","init.categ_products_drug_orders","product","init.a8a07f8e-1350-11df-a1f1-0026b9348838","init.a8a07f8e-1350-11df-a1f1-0026b9348838","Ordered quantities","172.00","17.20","local","","400MG"
"init.f51022a4-3bc9-5267-8961-7bbe81328894","DOXYCYCLINE CAPSULES 100MG","init.categ_products_drug_orders","product","init.a8a0810a-1350-11df-a1f1-0026b9348838","init.a8a0810a-1350-11df-a1f1-0026b9348838","Ordered quantities","200.00","2.00","local","","100MG"
"init.8b7db1dc-270c-5db9-a240-814254dafcda","GENTAMICIN INJECTION - 40MG/ML 2MLAMP","init.categ_products_drug_orders","product","init.e5e1fa57-2b8b-4aef-9b8c-8378b5382791","init.e5e1fa57-2b8b-4aef-9b8c-8378b5382791","Ordered quantities","12.00","12.00","local","","40MG/ML"
"init.145931a7-cbaf-541f-b84a-99d03c0fa8ec","PHENOBARBITONE INJECTION-200MG/ML","init.categ_products_drug_orders","product","init.e5e1fa57-2b8b-4aef-9b8c-8378b5382791","init.e5e1fa57-2b8b-4aef-9b8c-8378b5382791","Ordered quantities","110.00","110.00","local","","200MG/ML"
"init.55d5f86b-178c-5410-825e-f8a92bf38597","AMOXICILLIN DISPERSIBLE SCORED TAB 250 MG","init.categ_products_drug_orders","product","init.a8a07f8e-1350-11df-a1f1-0026b9348838","init.a8a07f8e-1350-11df-a1f1-0026b9348838","Ordered quantities","365.00","3.65","local","","250MG"
"init.cbc6386b-bd61-5220-bd00-5a1b36407e93","FLU CLOXACILLIN 125MG/5ML SUSPENSION 100 ML","init.categ_products_drug_orders","product","init.08709444-ac83-4af2-a8e5-86d91bb565b3","init.08709444-ac83-4af2-a8e5-86d91bb565b3","Ordered quantities","73.00","73.00","local","","125MG"
"init.3d1e5961-19c3-5402-bc96-d45adc192e16","CLOTRIMAZOLE CREAM-1%","init.categ_products_drug_orders","product","init.2c731799-e52f-40cd-864d-fb12a89a1f81","init.2c731799-e52f-40cd-864d-fb12a89a1f81","Ordered quantities","17.00","17.00","local","",""
"init.aabe978c-cefc-53e7-85ff-c45b29b01634","SALBUTAMOL+BECLOMETHASONE INHALATION (100+50) MICROGRAMS 200 DOSES","init.categ_products_drug_orders","product","init.56624b7a-6f24-40aa-af30-cad799d110c5","init.56624b7a-6f24-40aa-af30-cad799d110c5","Ordered quantities","417.00","417.00","local","",""
"init.99bafbe6-a975-50fc-994b-e31bdcac54a0","SILVER SULPHADIAZINE CREAM-1%","init.categ_products_drug_orders","product","init.2c731799-e52f-40cd-864d-fb12a89a1f81","init.2c731799-e52f-40cd-864d-fb12a89a1f81","Ordered quantities","320.00","320.00","local","",""
"init.6c38e52e-b9a0-53e3-af98-c232ea052ef9","TETRACYCLINE EYE OINTMENT-1%","init.categ_products_drug_orders","product","init.89791287-a474-4a34-b8a5-7357da93ebec","init.89791287-a474-4a34-b8a5-7357da93ebec","Ordered quantities","21.00","21.00","local","",""
"init.ee91f692-eb80-50b0-a31c-e073031dadd6","IBUPROFEN TABLETS FIC 200MG BLISTER PACK","init.categ_products_drug_orders","product","init.a8a07f8e-1350-11df-a1f1-0026b9348838","init.a8a07f8e-1350-11df-a1f1-0026b9348838","Ordered quantities","78.00","0.78","local","","200MG"
"init.fc063e29-861d-580d-826e-31a7b5d916f7","CEFTRIAXONE INJECTION IM/IV - 10","init.categ_products_drug_orders","product","init.e5e1fa57-2b8b-4aef-9b8c-8378b5382791","init.e5e1fa57-2b8b-4aef-9b8c-8378b5382791","Ordered quantities","49.00","49.00","local","",""
"init.47752014-6cf0-509e-912d-b865705e848b","LIGNOCAINE HYDROCHLORIDE INJECTION 2%","init.categ_products_drug_orders","product","init.e5e1fa57-2b8b-4aef-9b8c-8378b5382791","init.e5e1fa57-2b8b-4aef-9b8c-8378b5382791","Ordered quantities","39.00","39.00","local","",""
"init.47cdde85-b833-5c12-b6ef-6e4ff868421b","PARACETAMOL TABLETS 500MG","init.categ_products_drug_orders","product","init.a8a07f8e-1350-11df-a1f1-0026b9348838","init.a8a07f8e-1350-11df-a1f1-0026b9348838","Ordered quantities","97.00","0.97","local","","500MG"
"init.4391a724-f1d1-5cda-bdf6-19880a5b9e80","OXYTOCIN INJECTION 10 IU/ML","init.categ_products_drug_orders","product","init.e5e1fa57-2b8b-4aef-9b8c-8378b5382791","init.e5e1fa57-2b8b-4aef-9b8c-8378b5382791","Ordered quantities","22.00","22.00","local","","10IU"
"init.ecd2cd72-3dbb-54e2-816b-eace2181ce19","RABIES VACCINE PURIFIED VEROC RABBIES VACCINE PURIFIED VEROCEL/HUMAN DIPLOID SHOULD WHO PREQUALIFIED","init.categ_products_drug_orders","product","init.e5e1fa57-2b8b-4aef-9b8c-8378b5382791","init.e5e1fa57-2b8b-4aef-9b8c-8378b5382791","Ordered quantities","1160.00","1160.00","local","",""
