"id","name","categ_id/id","type","uom_id/id","uom_po_id/id","invoice_policy","lst_price","standard_price"
"init.99c33f98-03c3-554c-9f68-c182aa554176","HEPATITIS B (HBSAG) TEST KIT","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","2024.00","1619.20"
"init.460b95e8-9b89-5cb0-945d-ddf5cd7f854c","HIGH VAGINAL SWAB (HVS) STERILE SINGLE WRAPPED","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","790.00","632.00"
"init.70e4d209-31fe-5bf8-983c-ace4bf029005","HIGH VAGINAL SWABS (STERILE)","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","1110.00","888.00"
"init.c0898e5b-5377-5fe5-92ab-38130268560e","INDIAN INK (NIGROSIN)","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","1143.00","914.40"
"init.4329cffd-18b2-52b9-9bae-c7978c39e1cf","ISE CALIBRATOR (6X20ML+6X20ML)","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","54300.00","43440.00"
"init.d9543201-01bf-5517-895e-f5c8e0f23c2c","ISE DILUENT 12X25ML","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","14400.00","11520.00"
"init.6018f8bc-8f97-5313-beb4-9f8b5610a3d8","LEISHMAN STAIN(POWDER)","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","1000.00","800.00"
"init.c186b72f-055e-5304-bce0-28fd3b1b16f2","LENS CLEANING TISSUE","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","342.00","273.60"
"init.b699c713-c7f2-5740-b5ef-1ea05a524207","MEDONIC CLEANING KIT","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","25000.00","20000.00"
"init.3fc0f810-cf90-504e-b4a6-336f30e491e9","MEDONIC DILUENT","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","22700.00","18160.00"
