"id","name","categ_id/id","type","uom_id/id","uom_po_id/id","invoice_policy","lst_price","standard_price"
"init.bfd6f7c1-f11a-5710-9732-1782faede40f","4.5MM CORTEX SCREW LENGTH 52MM ST. STEEL","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","317.00","253.60"
"init.e43044f6-bce3-5389-aea4-e34cc03813f1","4.5MM CORTEX SCREW LENGTH 54MM ST. STEEL","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","317.00","253.60"
"init.901ac16a-2370-51bf-b3e3-e1368fc7340c","4.5MM CORTEX SCREW LENGTH 56MM ST. STEEL","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","317.00","253.60"
"init.77abeb06-460e-5304-94e3-087937bb43b9","4.5MM CORTEX SCREW LENGTH 58MM ST. STEEL","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","317.00","253.60"
"init.419d7736-fba6-56d4-9378-afdb994be409","4.5MM CORTEX SCREW LENGTH 60MM ST. STEEL","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","317.00","253.60"
"init.13e885f2-8f6d-5f29-9904-0f3fe6627493","6.5MM CANCELLOUS BONE SCREW/16MM LENGTH 100MM ST. STEEL","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","545.00","436.00"
"init.41f455aa-6f08-51f4-a207-cf03cd65c287","6.5MM CANCELLOUS BONE SCREW/16MM LENGTH 105MM ST. STEEL","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","550.00","440.00"
"init.be36f778-4bb9-542d-8b40-664e70cc7462","6.5MM CANCELLOUS BONE SCREW/16MM LENGTH 65MM ST. STEEL","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","465.00","372.00"
"init.ea03043a-571c-56e6-b919-2360a6a62f8c","6.5MM CANCELLOUS BONE SCREW/16MM LENGTH 70MM ST. STEEL","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","470.00","376.00"
"init.e9c8e5c2-73ba-5aeb-b70c-4bc9e37b75a5","6.5MM CANCELLOUS BONE SCREW/16MM LENGTH 75MM ST. STEEL","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","485.00","388.00"
"init.e5b567a8-067e-5d37-80e8-1ae7e05f0e55","6.5MM CANCELLOUS BONE SCREW/16MM LENGTH80 ST. STEEL","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","485.00","388.00"
"init.33f24e9e-dc3b-5666-a86a-fddcaf79173b","6.5MM CANCELLOUS BONE SCREW/16MM LENGTH 85MM ST. STEEL","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","485.00","388.00"
"init.b2d00a6c-3e5e-5022-ac2e-33516509bcae","6.5MM CANCELLOUS BONE SCREW/16MM LENGTH 90MM ST. STEEL","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","525.00","420.00"
"init.25c2eb1f-6c04-5ebd-9af5-f5e399c5caf8","6.5MM CANCELLOUS BONE SCREW/16MM LENGTH 95MM ST. STEEL","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","535.00","428.00"
"init.f258b97b-4639-5cfe-85ce-e269f08cf63e","6.5MM CANCELLOUS BONE SCREW/32MM LENGTH25MM ST. STEEL","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","465.00","372.00"
"init.6e7006b7-576c-5ee1-b685-cb79c7eb3556","6.5MM CANCELLOUS BONE SCREW/32MM LENGTH 30MM ST. STEEL","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","465.00","372.00"
"init.08388904-fe8e-55b5-b94c-05ead69df6d2","6.5MM CANCELLOUS BONE SCREW/32MM LENGTH 35MM ST. STEEL","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","465.00","372.00"
"init.06b929dc-db01-51a4-a37e-d20b01b0a4d0","6.5MM CANCELLOUS BONE SCREW/32MM LENGTH 40MM ST. STEEL","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","465.00","372.00"
"init.a24684f7-799a-51af-8ebe-0f8b5107c34b","6.5MM CANCELLOUS BONE SCREW/32MM LENGTH 45MM ST. STEEL","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","465.00","372.00"
"init.ffde6139-624b-55df-a26a-7aeb90b50341","6.5MM CANCELLOUS BONE SCREW/32MM LENGTH 50MM ST. STEEL","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","465.00","372.00"
"init.e368b42c-f939-5097-9140-91319105a5a1","6.5MM CANCELLOUS BONE SCREW/FULLY THREADED LENGTH 20MMST.STEEL","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","343.00","274.40"
"init.0f47dc65-5a57-56bd-bb62-81fa465f6bd3","6.5MM CANCELLOUS BONE SCREW/FULLY THREADED LENGTH 25MM ST. STEEL","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","343.00","274.40"
