odoo_id,odoo_name,csv_file,odoo_lst_price,odoo_default_code
init.8ef09927-e0d3-4d03-93c8-c558542e2d61,ANTACID TAB,drugs.csv,1.00,
init.f74132e8-c11b-4874-8707-db2fbcd8f70a,METOCLOPRAMIDE 10mg TAB,drugs.csv,1.00,
init.a37131e7-9966-48c2-b47c-8a7d8d0b8b05,FLUOXETINE 20mg CAP,drugs.csv,1.00,
init.1f492827-64b2-484c-8405-92ba60215a23,FLUOXETINE 40mg CAP,drugs.csv,1.00,
init.297c0199-892e-4caa-af76-f59b83dc4579,OLANZAPINE 5mg TAB,drugs.csv,1.00,
init.4bf3508a-9423-4a24-929f-8ae66cd46529,OLANZAPINE 10mg TAB,drugs.csv,1.00,
init.f70b6686-c01d-4162-8ea0-05092b885720,OLANZAPINE 20mg TAB,drugs.csv,1.00,
init.ea35fb82-f5bf-4255-809a-d264d24a4a4d,BENZHEXOL 5mg TAB,drugs.csv,1.00,
init.3723e7e9-903b-4259-b5be-f01fecb771ef,CHLORPROMAZINE 100mg SOL INJ,drugs.csv,1.00,
init.d3930059-0032-48c5-bb05-3ac77497b3ae,AMITRIPTYLINE 50mg TAB,drugs.csv,1.00,
init.084a2d06-b634-4182-aeec-18c6333ec8ae,CARBAMAZEPINE 400mg TAB,drugs.csv,1.00,
init.97534bf5-e250-44a9-b40b-cabe2ab01e37,CHLORPROMAZINE 100mg TAB,drugs.csv,1.00,
init.40c58d72-9d86-4eb2-a1ae-0efb2629aed2,ALPRAZOLAM 0.25mg TAB,drugs.csv,1.00,
init.0265e800-2a00-4c78-bec8-55ca5a0df338,ALPRAZOLAM 0.5mg TAB,drugs.csv,1.00,
init.98c7267a-b779-4ace-bad4-8e175a729879,IMIPRAMINE 25mg TAB,drugs.csv,1.00,
init.5a9320dd-1445-4fac-8579-64d15195942d,VALPROATE SODIUM 200mg CAP,drugs.csv,1.00,
init.aef277ba-7568-4693-9800-667139585905,VALPROATE SODIUM 400mg CAP,drugs.csv,1.00,
init.1c5b7126-b9a9-47cf-83ff-d65e0177f8bb,AMOXICILLIN 200mg AND CLAVULANIC ACID 28mg/5ml SUSP (CO-AMOXICLAV 228mg/5ml SUSP),drugs.csv,1.00,
init.8c105d09-e258-4c4a-a48f-75cd7e3587e6,TRIMETHOPRIM 40mg AND SULFAMETHOXAZOLE 200mg/5ml SUSP (COTRIMOXAZOLE 240mg/5ml SUSP),drugs.csv,1.00,
init.7a3405bc-86d6-4b1b-a83a-5989d65a6af5,CHLORPHENAMINE 2mg/5ml SYR,drugs.csv,1.00,
init.bb168b83-6eb3-490b-922c-f71768960597,NIFEDIPINE-R 20mg TAB,drugs.csv,1.00,
init.ed435c6a-aa6e-47a5-b2c2-3772bf56d693,MULTIVITAMIN TAB,drugs.csv,1.00,
init.97e96449-ff7d-44eb-993e-c79911fe1c78,MULTIVITAMIN SYR,drugs.csv,1.00,
init.41736688-affa-4163-b07c-782af6bb30c7,VITAMIN A 200000iu CAP,drugs.csv,1.00,
init.239183f5-6eca-43ed-bb29-6469f57165f2,PRENATAL VITAMINS TAB,drugs.csv,1.00,
init.3cc146f0-5bd1-43fd-8db9-2b3395aae71b,QUININE 300mg TAB,drugs.csv,1.00,
init.6fe6e467-3ddb-4b19-9968-ff0fead7bbdf,GRISEOFULVIN 125mg TAB,drugs.csv,1.00,
init.2b565d55-3605-4d3b-8d68-f518cc9657fa,ORAL REHYDRATION SALTS (ORS),drugs.csv,1.00,
init.a9699571-cc33-43a8-91c1-db4121c24c04,HAEMATINIC SYR,drugs.csv,1.00,
init.ce53ad77-ba8f-4b00-9ef7-8466c3edfee1,ZINC SULPHATE 20mg TAB,drugs.csv,1.00,
init.b4d40d17-042d-4fb2-a128-4434bc86d9f7,SALBUTAMOL 4mg TAB,drugs.csv,1.00,
init.6ea97e66-cfe0-457c-800e-bbe66c82f679,HALOPERIDOL 10mg TAB,drugs.csv,1.00,
init.ceb2a71c-18c5-409e-a643-44727192c210,AZITHROMYCIN 200mg/5ml SUSP,drugs.csv,1.00,
init.b6bba0db-22b1-4553-9af9-c589951b5d82,METRONIDAZOLE 200mg/5ml SYR,drugs.csv,1.00,
init.6d0ebfd5-5b58-4ca3-afe5-fe765fdcf536,ANTACID SUSP,drugs.csv,1.00,
init.1baf254e-1429-4fd9-8db1-edf6523cea13,RITONAVIR 100mg TAB(NORVIR 100mg TAB),drugs.csv,1.00,
init.d15d498f-f10d-461d-989e-4e4b4e0a288f,CHLORPROMAZINE 50mg SOL INJ,drugs.csv,1.00,
init.3bfb9d86-5584-4da9-9d23-dbfac9e1e877,FLUPHENAZINE 100mg DEP,drugs.csv,1.00,
init.73e7e662-e261-4948-bf39-3a4aa0f9c181,CHLORPROMAZINE 25mg TAB,drugs.csv,1.00,
init.7b34874a-60e6-46d0-986c-55169fe5ca15,FLUPHENAZINE 25mg SOL INJ,drugs.csv,1.00,
init.4b368220-c185-4b16-a108-5b251f7be4cf,HALOPERIDOL 5mg SOL INJ,drugs.csv,1.00,
init.cd658bc9-aafd-4c2e-b488-f661938c8344,HALOPERIDOL 50mg DEP INJ,drugs.csv,1.00,
init.fb2e8451-5260-4f33-8ba0-bf36ef7f275a,LAMIVUDINE 10mg/mL SOL,drugs.csv,1.00,
init.29832ff0-efa7-4a8a-99ff-6004d8eab334,ABACAVIR 20mg/mL SOL,drugs.csv,1.00,
init.25dc9ae0-02ad-41f5-a458-c592f5d0f584,ZIDOVUDINE 10mg/mL SYR,drugs.csv,1.00,
init.b8ebbdaf-986f-4c14-a5e7-ad3d3ba2bba2,NEVIRAPINE 10mg/mL SUSP,drugs.csv,1.00,
init.f1878ef8-223e-4a8b-b31d-9873e7543f96,NEVIRAPINE 50mg TAB,drugs.csv,1.00,
init.d70be31c-84dd-446c-ae81-ae9fe0b80dd7,EFAVIRENZ 50mg CAP,drugs.csv,1.00,
init.db3c194b-3e1b-4001-9a1c-a5df1728fc28,EFAVIRENZ 200mg CAP,drugs.csv,1.00,
init.833d0c12-e6e8-44a9-930a-2b8eeb209fd0,DIDANOSINE 25mg TAB,drugs.csv,1.00,
init.9fc20417-add7-402e-a1b7-a791460e6452,DIDANOSINE 50mg TAB,drugs.csv,1.00,
init.e1b3c15d-9ce6-4bac-bd12-e99f20f849a2,DIDANOSINE 100mg TAB,drugs.csv,1.00,
init.403f181c-f53b-41a0-afb1-c1242b71bbb1,DIDANOSINE 250mg CAP,drugs.csv,1.00,
init.12455d41-bf4d-401b-8dd3-b794fb97ad91,DIDANOSINE 400mg CAP,drugs.csv,1.00,
init.68cb9578-f034-410b-8735-f2191dc9bbaf,LOPINAVIR 200mg AND RITONAVIR 50mg TAB (LPV 200mg AND RIT 50mg TAB),drugs.csv,1.00,
init.f8b6299e-6bbf-446a-b3f1-a88f5d6b9da2,LOPINAVIR 80mg AND RITONAVIR 20mg SOL (LPV 80mg AND RIT 20mg SOL),drugs.csv,1.00,
init.8c031054-c174-4e5c-a674-3ab6758d23e7,ZIDOVUDINE 60mg AND LAMIVUDINE 30mg TAB (ZDV 60mg AND 3TC 30mg TAB),drugs.csv,1.00,
init.fc3308da-ff4c-4bfc-9ee6-197cae6758dd,ABACAVIR 60mg AND LAMIVUDINE 30mg TAB (ABC 60mg AND 3TC 30mg TAB),drugs.csv,1.00,
init.147aa34b-db64-48c2-a6e1-31ae54735ad8,NEVIRAPINE 50mg AND LAMIVUDINE 30mg AND ZIDOVUDINE 60mg TAB (NVP 50mg AND 3TC 30mg AND ZDV 60mg TAB),drugs.csv,1.00,
init.4d7d104b-7274-4552-81a8-31dba4a131ca,STAVUDINE 12mg AND LAMIVUDINE 60mg AND NEVIRAPINE 100mg TAB (D4T 12mg AND 3TC 60mg AND NVP 100mg TAB) (TRIOMUNE JR TABLET),drugs.csv,1.00,
init.c207d04e-fdcb-4aa4-a4b3-953c9beb223e,SALBUTAMOL MDI,drugs.csv,1.00,
init.067faba6-2bf4-47b7-bf9a-b57cc6fa21d5,TETRACYCLINE OINT,drugs.csv,1.00,
init.af2e81b8-f2e5-4a6a-a172-55b8dd128f37,SILVER SULFADIAZINE CR,drugs.csv,1.00,
init.f4bcfe7e-42da-48f8-ac7a-74113ed1a92d,PARACETAMOL SUPP 125mg,drugs.csv,1.00,
init.6c3e2bb9-8802-4da7-aede-303263f10ba7,HYDROCORTISONE DROPS,drugs.csv,1.00,
init.0cd6b8df-a332-4a1a-a2d7-cda1dda801da,HYDROCORTISONE CR,drugs.csv,1.00,
init.d17c5b84-1974-46f9-b7a3-91f1af6f667d,CLOTRIMAZOLE PESS,drugs.csv,1.00,
init.175abf77-79db-4429-9633-bfbbddf9589f,CLOTRIMAZOLE CR,drugs.csv,1.00,
init.bcdbfd1b-375d-4898-b70d-c3b82e47a86a,CALAMINE LOT,drugs.csv,1.00,
init.1bf40f7a-84ee-4010-990f-d23a09218a51,BENZYL BENZOATE EMUL,drugs.csv,1.00,
init.efca3eee-91e5-40ac-bf70-f89d674463e7,POLIO VACCINATION SOL,drugs.csv,1.00,
